2024-03-25 21:06:15,203 - INFO - Args parsed succesfully
2024-03-25 21:06:15,203 - INFO - Params: Namespace(emotion_transform_prob=0.8, epochs=100, exp_name='AugmentedEmotion', net_name='resnet50')
2024-03-25 21:06:15,755 - INFO - Model was initialized and sent to cuda:0
2024-03-25 21:06:17,722 - INFO - All data has been loaded
2024-03-25 21:06:17,723 - INFO - DataLoaders initialized
2024-03-25 21:06:17,723 - INFO - HyperParams initiliazed, starting training...
2024-03-25 21:47:23,920 - INFO - Finished epoch number 11 | Loss: 0.0018490333599420405 | Epoch Time: 182.86087369918823
2024-03-25 21:47:24,743 - INFO - 	 In epoch number 12, finished iteration 0 | Running loss: 0.000 | Time from start of this epoch: 0.82 secs
2024-03-25 21:48:46,282 - INFO - 	 In epoch number 12, finished iteration 100 | Running loss: 0.001 | Time from start of this epoch: 82.36 secs
2024-03-25 21:50:08,467 - INFO - 	 In epoch number 12, finished iteration 200 | Running loss: 0.002 | Time from start of this epoch: 164.55 secs
2024-03-25 21:50:27,300 - INFO - Finished epoch number 12 | Loss: 0.0016915981375152545 | Epoch Time: 183.37903213500977
2024-03-25 21:50:28,085 - INFO - 	 In epoch number 13, finished iteration 0 | Running loss: 0.000 | Time from start of this epoch: 0.78 secs
2024-03-25 21:51:48,692 - INFO - 	 In epoch number 13, finished iteration 100 | Running loss: 0.001 | Time from start of this epoch: 81.39 secs
2024-03-25 21:53:10,856 - INFO - 	 In epoch number 13, finished iteration 200 | Running loss: 0.001 | Time from start of this epoch: 163.56 secs
2024-03-25 21:53:30,048 - INFO - Finished epoch number 13 | Loss: 0.0015386226519035519 | Epoch Time: 182.74764585494995
2024-03-25 21:53:30,832 - INFO - 	 In epoch number 14, finished iteration 0 | Running loss: 0.000 | Time from start of this epoch: 0.78 secs
2024-03-25 21:54:52,576 - INFO - 	 In epoch number 14, finished iteration 100 | Running loss: 0.001 | Time from start of this epoch: 82.53 secs
2024-03-25 21:56:15,658 - INFO - 	 In epoch number 14, finished iteration 200 | Running loss: 0.001 | Time from start of this epoch: 165.61 secs
2024-03-25 21:56:34,973 - INFO - Finished epoch number 14 | Loss: 0.001362396616759505 | Epoch Time: 184.92394757270813
2024-03-25 21:56:35,701 - INFO - 	 In epoch number 15, finished iteration 0 | Running loss: 0.000 | Time from start of this epoch: 0.73 secs
2024-03-25 21:57:57,550 - INFO - 	 In epoch number 15, finished iteration 100 | Running loss: 0.001 | Time from start of this epoch: 82.58 secs
2024-03-25 21:59:18,721 - INFO - 	 In epoch number 15, finished iteration 200 | Running loss: 0.001 | Time from start of this epoch: 163.75 secs
2024-03-25 22:02:39,049 - INFO - Epoch: 15 | Loss: 0.0012 | Training accuracy: 95.308% | Validation accuracy: 62.859% | Epoch Time: 364.08 secs
2024-03-25 22:02:44,196 - INFO - 	 In epoch number 16, finished iteration 0 | Running loss: 0.000 | Time from start of this epoch: 0.79 secs
2024-03-25 22:04:05,876 - INFO - 	 In epoch number 16, finished iteration 100 | Running loss: 0.000 | Time from start of this epoch: 82.47 secs
2024-03-25 22:05:28,258 - INFO - 	 In epoch number 16, finished iteration 200 | Running loss: 0.001 | Time from start of this epoch: 164.85 secs
2024-03-25 22:05:47,093 - INFO - Finished epoch number 16 | Loss: 0.001087144446661469 | Epoch Time: 183.6855697631836
2024-03-25 22:05:47,915 - INFO - 	 In epoch number 17, finished iteration 0 | Running loss: 0.000 | Time from start of this epoch: 0.82 secs
2024-03-25 22:07:09,612 - INFO - 	 In epoch number 17, finished iteration 100 | Running loss: 0.000 | Time from start of this epoch: 82.52 secs
2024-03-25 22:08:31,170 - INFO - 	 In epoch number 17, finished iteration 200 | Running loss: 0.001 | Time from start of this epoch: 164.08 secs
2024-03-25 22:08:50,370 - INFO - Finished epoch number 17 | Loss: 0.0009737596033357263 | Epoch Time: 183.2760033607483
2024-03-25 22:08:51,151 - INFO - 	 In epoch number 18, finished iteration 0 | Running loss: 0.000 | Time from start of this epoch: 0.78 secs
2024-03-25 22:10:13,945 - INFO - 	 In epoch number 18, finished iteration 100 | Running loss: 0.000 | Time from start of this epoch: 83.57 secs
2024-03-25 22:11:35,292 - INFO - 	 In epoch number 18, finished iteration 200 | Running loss: 0.001 | Time from start of this epoch: 164.92 secs
2024-03-25 22:11:54,332 - INFO - Finished epoch number 18 | Loss: 0.0008799303809631838 | Epoch Time: 183.96120190620422
2024-03-25 22:11:55,092 - INFO - 	 In epoch number 19, finished iteration 0 | Running loss: 0.000 | Time from start of this epoch: 0.76 secs
2024-03-25 22:13:16,949 - INFO - 	 In epoch number 19, finished iteration 100 | Running loss: 0.000 | Time from start of this epoch: 82.62 secs
2024-03-25 22:14:39,455 - INFO - 	 In epoch number 19, finished iteration 200 | Running loss: 0.001 | Time from start of this epoch: 165.12 secs
2024-03-25 22:14:58,534 - INFO - Finished epoch number 19 | Loss: 0.0007798566625600258 | Epoch Time: 184.2013556957245
2024-03-25 22:14:59,320 - INFO - 	 In epoch number 20, finished iteration 0 | Running loss: 0.000 | Time from start of this epoch: 0.79 secs
2024-03-25 22:16:21,748 - INFO - 	 In epoch number 20, finished iteration 100 | Running loss: 0.000 | Time from start of this epoch: 83.21 secs
2024-03-25 22:17:43,798 - INFO - 	 In epoch number 20, finished iteration 200 | Running loss: 0.001 | Time from start of this epoch: 165.26 secs
2024-03-25 22:21:02,791 - INFO - Epoch: 20 | Loss: 0.0007 | Training accuracy: 97.485% | Validation accuracy: 65.032% | Epoch Time: 364.26 secs
2024-03-25 22:21:07,269 - INFO - 	 In epoch number 21, finished iteration 0 | Running loss: 0.000 | Time from start of this epoch: 0.93 secs
2024-03-25 22:22:28,205 - INFO - 	 In epoch number 21, finished iteration 100 | Running loss: 0.000 | Time from start of this epoch: 81.87 secs
2024-03-25 22:23:50,883 - INFO - 	 In epoch number 21, finished iteration 200 | Running loss: 0.001 | Time from start of this epoch: 164.54 secs
2024-03-25 22:24:09,169 - INFO - Finished epoch number 21 | Loss: 0.0006148594712607622 | Epoch Time: 182.83106207847595
2024-03-25 22:24:09,952 - INFO - 	 In epoch number 22, finished iteration 0 | Running loss: 0.000 | Time from start of this epoch: 0.78 secs
2024-03-25 22:25:32,694 - INFO - 	 In epoch number 22, finished iteration 100 | Running loss: 0.000 | Time from start of this epoch: 83.52 secs
2024-03-25 22:26:53,507 - INFO - 	 In epoch number 22, finished iteration 200 | Running loss: 0.001 | Time from start of this epoch: 164.34 secs
2024-03-25 22:27:12,542 - INFO - Finished epoch number 22 | Loss: 0.0005635932942240492 | Epoch Time: 183.37274146080017
2024-03-25 22:27:13,365 - INFO - 	 In epoch number 23, finished iteration 0 | Running loss: 0.000 | Time from start of this epoch: 0.82 secs
2024-03-25 22:28:34,940 - INFO - 	 In epoch number 23, finished iteration 100 | Running loss: 0.000 | Time from start of this epoch: 82.40 secs
2024-03-25 22:29:56,602 - INFO - 	 In epoch number 23, finished iteration 200 | Running loss: 0.000 | Time from start of this epoch: 164.06 secs
2024-03-25 22:30:15,508 - INFO - Finished epoch number 23 | Loss: 0.0005347774848352322 | Epoch Time: 182.9647614955902
2024-03-25 22:30:16,289 - INFO - 	 In epoch number 24, finished iteration 0 | Running loss: 0.000 | Time from start of this epoch: 0.78 secs
2024-03-25 22:31:38,022 - INFO - 	 In epoch number 24, finished iteration 100 | Running loss: 0.000 | Time from start of this epoch: 82.51 secs
2024-03-25 22:33:00,524 - INFO - 	 In epoch number 24, finished iteration 200 | Running loss: 0.000 | Time from start of this epoch: 165.02 secs
2024-03-25 22:33:19,447 - INFO - Finished epoch number 24 | Loss: 0.00047426163439670283 | Epoch Time: 183.93882036209106
2024-03-25 22:33:20,296 - INFO - 	 In epoch number 25, finished iteration 0 | Running loss: 0.000 | Time from start of this epoch: 0.85 secs
2024-03-25 22:34:41,960 - INFO - 	 In epoch number 25, finished iteration 100 | Running loss: 0.000 | Time from start of this epoch: 82.51 secs
2024-03-25 22:36:04,760 - INFO - 	 In epoch number 25, finished iteration 200 | Running loss: 0.000 | Time from start of this epoch: 165.31 secs
2024-03-25 22:39:24,844 - INFO - Epoch: 25 | Loss: 0.0004 | Training accuracy: 98.568% | Validation accuracy: 66.620% | Epoch Time: 365.40 secs
2024-03-25 22:39:28,887 - INFO - 	 In epoch number 26, finished iteration 0 | Running loss: 0.000 | Time from start of this epoch: 0.85 secs
2024-03-25 22:40:51,504 - INFO - 	 In epoch number 26, finished iteration 100 | Running loss: 0.000 | Time from start of this epoch: 83.47 secs
2024-03-25 22:42:12,562 - INFO - 	 In epoch number 26, finished iteration 200 | Running loss: 0.000 | Time from start of this epoch: 164.53 secs
2024-03-25 22:42:31,775 - INFO - Finished epoch number 26 | Loss: 0.00038716097544425727 | Epoch Time: 183.74072265625
2024-03-25 22:42:32,496 - INFO - 	 In epoch number 27, finished iteration 0 | Running loss: 0.000 | Time from start of this epoch: 0.72 secs
2024-03-25 22:43:53,547 - INFO - 	 In epoch number 27, finished iteration 100 | Running loss: 0.000 | Time from start of this epoch: 81.77 secs
2024-03-25 22:45:15,990 - INFO - 	 In epoch number 27, finished iteration 200 | Running loss: 0.000 | Time from start of this epoch: 164.21 secs
2024-03-25 22:45:35,123 - INFO - Finished epoch number 27 | Loss: 0.0003832689339863445 | Epoch Time: 183.34725546836853
2024-03-25 22:45:35,836 - INFO - 	 In epoch number 28, finished iteration 0 | Running loss: 0.000 | Time from start of this epoch: 0.71 secs
2024-03-25 22:46:57,871 - INFO - 	 In epoch number 28, finished iteration 100 | Running loss: 0.000 | Time from start of this epoch: 82.75 secs
2024-03-25 22:48:20,193 - INFO - 	 In epoch number 28, finished iteration 200 | Running loss: 0.000 | Time from start of this epoch: 165.07 secs
2024-03-25 22:48:38,690 - INFO - Finished epoch number 28 | Loss: 0.00033833672480326223 | Epoch Time: 183.56683564186096
2024-03-25 22:48:39,538 - INFO - 	 In epoch number 29, finished iteration 0 | Running loss: 0.000 | Time from start of this epoch: 0.85 secs
2024-03-25 22:50:00,073 - INFO - 	 In epoch number 29, finished iteration 100 | Running loss: 0.000 | Time from start of this epoch: 81.38 secs
2024-03-25 22:51:22,506 - INFO - 	 In epoch number 29, finished iteration 200 | Running loss: 0.000 | Time from start of this epoch: 163.81 secs
2024-03-25 22:51:41,699 - INFO - Finished epoch number 29 | Loss: 0.0003476544621875231 | Epoch Time: 183.00773191452026
2024-03-25 22:51:42,544 - INFO - 	 In epoch number 30, finished iteration 0 | Running loss: 0.000 | Time from start of this epoch: 0.84 secs
2024-03-25 22:53:03,968 - INFO - 	 In epoch number 30, finished iteration 100 | Running loss: 0.000 | Time from start of this epoch: 82.27 secs
2024-03-25 22:54:24,524 - INFO - 	 In epoch number 30, finished iteration 200 | Running loss: 0.000 | Time from start of this epoch: 162.82 secs
2024-03-25 22:57:44,594 - INFO - Epoch: 30 | Loss: 0.0003 | Training accuracy: 98.826% | Validation accuracy: 66.815% | Epoch Time: 362.89 secs
2024-03-25 22:57:50,243 - INFO - 	 In epoch number 31, finished iteration 0 | Running loss: 0.000 | Time from start of this epoch: 0.95 secs
2024-03-25 22:59:10,950 - INFO - 	 In epoch number 31, finished iteration 100 | Running loss: 0.000 | Time from start of this epoch: 81.66 secs
2024-03-25 23:00:32,331 - INFO - 	 In epoch number 31, finished iteration 200 | Running loss: 0.000 | Time from start of this epoch: 163.04 secs
2024-03-25 23:00:51,186 - INFO - Finished epoch number 31 | Loss: 0.0003214391469110704 | Epoch Time: 181.8954529762268
2024-03-25 23:00:52,053 - INFO - 	 In epoch number 32, finished iteration 0 | Running loss: 0.000 | Time from start of this epoch: 0.87 secs
2024-03-25 23:02:13,999 - INFO - 	 In epoch number 32, finished iteration 100 | Running loss: 0.000 | Time from start of this epoch: 82.81 secs
2024-03-25 23:03:36,482 - INFO - 	 In epoch number 32, finished iteration 200 | Running loss: 0.000 | Time from start of this epoch: 165.30 secs
2024-03-25 23:03:55,593 - INFO - Finished epoch number 32 | Loss: 0.0003237975593903495 | Epoch Time: 184.40599536895752
2024-03-25 23:03:56,467 - INFO - 	 In epoch number 33, finished iteration 0 | Running loss: 0.000 | Time from start of this epoch: 0.87 secs
2024-03-25 23:05:18,452 - INFO - 	 In epoch number 33, finished iteration 100 | Running loss: 0.000 | Time from start of this epoch: 82.86 secs
2024-03-25 23:06:39,911 - INFO - 	 In epoch number 33, finished iteration 200 | Running loss: 0.000 | Time from start of this epoch: 164.32 secs
2024-03-25 23:06:59,088 - INFO - Finished epoch number 33 | Loss: 0.00030914390150956806 | Epoch Time: 183.4943389892578
2024-03-25 23:06:59,892 - INFO - 	 In epoch number 34, finished iteration 0 | Running loss: 0.000 | Time from start of this epoch: 0.80 secs
2024-03-25 23:08:21,340 - INFO - 	 In epoch number 34, finished iteration 100 | Running loss: 0.000 | Time from start of this epoch: 82.25 secs
2024-03-25 23:09:42,820 - INFO - 	 In epoch number 34, finished iteration 200 | Running loss: 0.000 | Time from start of this epoch: 163.73 secs
2024-03-25 23:10:01,715 - INFO - Finished epoch number 34 | Loss: 0.0002988400770323846 | Epoch Time: 182.62708520889282
2024-03-25 23:10:02,448 - INFO - 	 In epoch number 35, finished iteration 0 | Running loss: 0.000 | Time from start of this epoch: 0.73 secs
2024-03-25 23:11:23,208 - INFO - 	 In epoch number 35, finished iteration 100 | Running loss: 0.000 | Time from start of this epoch: 81.49 secs
2024-03-25 23:12:44,813 - INFO - 	 In epoch number 35, finished iteration 200 | Running loss: 0.000 | Time from start of this epoch: 163.10 secs
2024-03-25 23:16:02,512 - INFO - Epoch: 35 | Loss: 0.0003 | Training accuracy: 98.938% | Validation accuracy: 66.787% | Epoch Time: 360.80 secs
2024-03-25 23:16:05,211 - INFO - 	 In epoch number 36, finished iteration 0 | Running loss: 0.000 | Time from start of this epoch: 0.80 secs
2024-03-25 23:17:25,302 - INFO - 	 In epoch number 36, finished iteration 100 | Running loss: 0.000 | Time from start of this epoch: 80.89 secs
2024-03-25 23:18:45,576 - INFO - 	 In epoch number 36, finished iteration 200 | Running loss: 0.000 | Time from start of this epoch: 161.17 secs
2024-03-25 23:19:05,082 - INFO - Finished epoch number 36 | Loss: 0.00030102845612867824 | Epoch Time: 180.6708288192749
2024-03-25 23:19:05,888 - INFO - 	 In epoch number 37, finished iteration 0 | Running loss: 0.000 | Time from start of this epoch: 0.81 secs
2024-03-25 23:20:27,299 - INFO - 	 In epoch number 37, finished iteration 100 | Running loss: 0.000 | Time from start of this epoch: 82.22 secs
2024-03-25 23:21:49,344 - INFO - 	 In epoch number 37, finished iteration 200 | Running loss: 0.000 | Time from start of this epoch: 164.26 secs
2024-03-25 23:22:07,949 - INFO - Finished epoch number 37 | Loss: 0.0003027248289260925 | Epoch Time: 182.8668065071106
2024-03-25 23:22:08,771 - INFO - 	 In epoch number 38, finished iteration 0 | Running loss: 0.000 | Time from start of this epoch: 0.82 secs
2024-03-25 23:23:28,791 - INFO - 	 In epoch number 38, finished iteration 100 | Running loss: 0.000 | Time from start of this epoch: 80.84 secs
2024-03-25 23:24:50,004 - INFO - 	 In epoch number 38, finished iteration 200 | Running loss: 0.000 | Time from start of this epoch: 162.05 secs
2024-03-25 23:25:08,870 - INFO - Finished epoch number 38 | Loss: 0.00031880955398024344 | Epoch Time: 180.9204614162445
2024-03-25 23:25:09,662 - INFO - 	 In epoch number 39, finished iteration 0 | Running loss: 0.000 | Time from start of this epoch: 0.79 secs
2024-03-25 23:26:30,738 - INFO - 	 In epoch number 39, finished iteration 100 | Running loss: 0.000 | Time from start of this epoch: 81.87 secs
2024-03-25 23:27:51,247 - INFO - 	 In epoch number 39, finished iteration 200 | Running loss: 0.000 | Time from start of this epoch: 162.38 secs
2024-03-25 23:28:10,600 - INFO - Finished epoch number 39 | Loss: 0.0003169799334357565 | Epoch Time: 181.72884798049927
2024-03-25 23:28:11,422 - INFO - 	 In epoch number 40, finished iteration 0 | Running loss: 0.000 | Time from start of this epoch: 0.82 secs
2024-03-25 23:29:33,207 - INFO - 	 In epoch number 40, finished iteration 100 | Running loss: 0.000 | Time from start of this epoch: 82.61 secs
