2024-03-25 20:24:25,156 - INFO - Args parsed succesfully
2024-03-25 20:24:25,157 - INFO - Params: Namespace(emotion_transform_prob=0.0, epochs=100, exp_name='Regular', net_name='resnet50')
2024-03-25 20:24:25,739 - INFO - Model was initialized and sent to cuda:0
2024-03-25 20:24:27,543 - INFO - All data has been loaded
2024-03-25 20:24:27,545 - INFO - DataLoaders initialized
2024-03-25 20:24:27,545 - INFO - HyperParams initiliazed, starting training...
2024-03-25 20:29:30,715 - INFO - Finished epoch number 11 | Loss: 0.001956923908543539 | Epoch Time: 23.664861917495728
2024-03-25 20:29:30,821 - INFO - 	 In epoch number 12, finished iteration 0 | Running loss: 0.000 | Time from start of this epoch: 0.10 secs
2024-03-25 20:29:41,302 - INFO - 	 In epoch number 12, finished iteration 100 | Running loss: 0.001 | Time from start of this epoch: 10.59 secs
2024-03-25 20:29:51,851 - INFO - 	 In epoch number 12, finished iteration 200 | Running loss: 0.001 | Time from start of this epoch: 21.14 secs
2024-03-25 20:29:54,340 - INFO - Finished epoch number 12 | Loss: 0.0015961311010404366 | Epoch Time: 23.623661518096924
2024-03-25 20:29:54,444 - INFO - 	 In epoch number 13, finished iteration 0 | Running loss: 0.000 | Time from start of this epoch: 0.10 secs
2024-03-25 20:30:04,969 - INFO - 	 In epoch number 13, finished iteration 100 | Running loss: 0.001 | Time from start of this epoch: 10.63 secs
2024-03-25 20:30:15,598 - INFO - 	 In epoch number 13, finished iteration 200 | Running loss: 0.001 | Time from start of this epoch: 21.26 secs
2024-03-25 20:30:18,089 - INFO - Finished epoch number 13 | Loss: 0.0012887098914283318 | Epoch Time: 23.748958826065063
2024-03-25 20:30:18,199 - INFO - 	 In epoch number 14, finished iteration 0 | Running loss: 0.000 | Time from start of this epoch: 0.11 secs
2024-03-25 20:30:28,762 - INFO - 	 In epoch number 14, finished iteration 100 | Running loss: 0.000 | Time from start of this epoch: 10.67 secs
2024-03-25 20:30:39,317 - INFO - 	 In epoch number 14, finished iteration 200 | Running loss: 0.001 | Time from start of this epoch: 21.23 secs
2024-03-25 20:30:41,788 - INFO - Finished epoch number 14 | Loss: 0.0010356439241261694 | Epoch Time: 23.697746753692627
2024-03-25 20:30:41,892 - INFO - 	 In epoch number 15, finished iteration 0 | Running loss: 0.000 | Time from start of this epoch: 0.10 secs
2024-03-25 20:30:52,397 - INFO - 	 In epoch number 15, finished iteration 100 | Running loss: 0.000 | Time from start of this epoch: 10.61 secs
2024-03-25 20:31:02,944 - INFO - 	 In epoch number 15, finished iteration 200 | Running loss: 0.001 | Time from start of this epoch: 21.16 secs
2024-03-25 20:31:24,207 - INFO - Epoch: 15 | Loss: 0.0008 | Training accuracy: 97.924% | Validation accuracy: 65.952% | Epoch Time: 42.42 secs
2024-03-25 20:31:28,642 - INFO - 	 In epoch number 16, finished iteration 0 | Running loss: 0.000 | Time from start of this epoch: 0.11 secs
2024-03-25 20:31:39,212 - INFO - 	 In epoch number 16, finished iteration 100 | Running loss: 0.000 | Time from start of this epoch: 10.68 secs
2024-03-25 20:31:49,723 - INFO - 	 In epoch number 16, finished iteration 200 | Running loss: 0.001 | Time from start of this epoch: 21.19 secs
2024-03-25 20:31:52,192 - INFO - Finished epoch number 16 | Loss: 0.000628493182881984 | Epoch Time: 23.66364288330078
2024-03-25 20:31:52,299 - INFO - 	 In epoch number 17, finished iteration 0 | Running loss: 0.000 | Time from start of this epoch: 0.11 secs
2024-03-25 20:32:02,805 - INFO - 	 In epoch number 17, finished iteration 100 | Running loss: 0.000 | Time from start of this epoch: 10.61 secs
2024-03-25 20:32:13,251 - INFO - 	 In epoch number 17, finished iteration 200 | Running loss: 0.000 | Time from start of this epoch: 21.06 secs
